sailing_id,itinerary_region,ship_name,departure_date,days_until_departure,capacity_cabins,current_occupancy_pct,projected_final_occupancy_pct,target_occupancy_pct,projected_vs_target,competitor_price_index,status,status_category,recommended_action
S045,Alaska,Endeavour,2025-09-02,1,75,88.0,100.0,90.0,10.0,0.98,Overperforming,opportunity,Increase price 3-5% for remaining inventory | Activate premium pricing tier for final cabins | Consider waitlist protocol
S030,Arctic,Endeavour,2025-09-13,12,78,87.2,98.6,90.0,8.6,0.99,Overperforming,opportunity,Increase price 3-5% for remaining inventory | Activate premium pricing tier for final cabins | Consider waitlist protocol
S044,Alaska,Explorer,2025-09-16,15,65,87.7,100.0,90.0,10.0,0.99,Overperforming,opportunity,Increase price 3-5% for remaining inventory | Activate premium pricing tier for final cabins | Consider waitlist protocol
S020,Galápagos,Resolution,2025-09-21,20,85,78.8,88.2,90.0,-1.8,1.02,On Track,monitor,Monitor pace weekly against forecast | Activate final push: 'Last Chance' messaging | Leverage scarcity messaging in marketing creative
S038,Alaska,Endeavour,2025-09-24,23,80,66.2,79.1,90.0,-10.9,0.96,At Risk,risk,"Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive | Launch flash sale: 15-20% off select categories (48-72hr window) | Engage travel agent partners with override commission | Coordinate with sales team for direct outreach to qualified leads | Consider bundled value-adds (pre/post hotel, excursions) vs straight discount"
S001,Antarctica,Venture,2025-11-07,67,75,76.0,91.2,90.0,1.2,1.05,On Track,monitor,Monitor pace weekly against forecast | Prepare shoulder-season promotional offers | Review cabin mix availability for targeted marketing
S004,Antarctica,Endeavour,2025-11-07,67,94,64.9,77.9,90.0,-12.1,1.05,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive | Launch flash sale: 15-20% off select categories (48-72hr window) | Engage travel agent partners with override commission
S003,Antarctica,Endeavour,2025-11-08,68,74,70.3,84.3,90.0,-5.7,1.05,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive | Launch flash sale: 15-20% off select categories (48-72hr window) | Engage travel agent partners with override commission
S002,Antarctica,Explorer,2025-11-27,87,97,73.2,87.8,90.0,-2.2,1.04,On Track,monitor,Monitor pace weekly against forecast | Prepare shoulder-season promotional offers | Review cabin mix availability for targeted marketing
S009,Antarctica,Explorer,2025-12-02,92,95,68.4,82.1,90.0,-7.9,1.04,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S022,Galápagos,Resolution,2025-12-15,105,113,61.1,100.0,90.0,10.0,1.0,Overperforming,opportunity,Increase price 3-5% for remaining inventory | Explore charter/group opportunities at premium rates | Activate premium pricing tier for final cabins | Consider waitlist protocol
S011,Antarctica,Explorer,2025-12-29,119,74,62.2,74.6,90.0,-15.4,1.06,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S025,Galápagos,Venture,2026-01-19,140,112,44.6,77.3,90.0,-12.7,0.99,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S012,Galápagos,Endeavour,2026-01-19,140,103,48.5,84.0,90.0,-6.0,0.99,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S007,Antarctica,Explorer,2026-01-26,147,84,47.6,57.1,90.0,-32.9,1.07,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S008,Antarctica,Venture,2026-01-28,149,62,48.4,58.1,90.0,-31.9,1.05,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S010,Antarctica,Endeavour,2026-02-01,153,64,50.0,60.0,90.0,-30.0,1.04,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S006,Antarctica,Venture,2026-02-17,169,69,43.5,52.2,90.0,-37.8,1.07,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S005,Antarctica,Venture,2026-02-23,175,60,41.7,50.0,90.0,-40.0,1.03,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S014,Galápagos,Endeavour,2026-03-01,181,109,31.2,79.1,90.0,-10.9,1.0,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S023,Galápagos,Explorer,2026-03-11,191,114,35.1,89.0,90.0,-1.0,1.0,On Track,monitor,Monitor pace weekly against forecast | Maintain current pricing strategy | Focus on awareness-building and early booker campaigns
S019,Galápagos,Resolution,2026-03-15,195,117,29.9,75.8,90.0,-14.2,0.98,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S017,Galápagos,Endeavour,2026-03-18,198,111,24.3,61.7,90.0,-28.3,0.99,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S015,Galápagos,Venture,2026-04-24,235,83,12.0,30.5,90.0,-59.5,0.96,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S024,Galápagos,Explorer,2026-04-25,236,98,17.3,44.0,90.0,-46.0,1.02,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S018,Galápagos,Endeavour,2026-04-26,237,96,16.7,42.3,90.0,-47.7,0.97,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
S013,Galápagos,Explorer,2026-05-10,251,118,10.2,25.8,90.0,-64.2,1.06,At Risk,risk,Increase marketing spend: digital + email remarketing | Activate past guest outreach with limited-time incentive
